Treatment,Cult,Species,Substrate,Sample.ID,Replicate,Time.h,Total.OD600,GFP.frac,parent.frac,HL-58,HL-48
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_1,1,0,,,,,0.06
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_1,1,4,,,,,0.016
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_1,1,8,,,,,0.025
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_1,1,12,,,,,0.137
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_1,1,14,,,,,0.279
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_1,1,16,,,,,0.492
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_1,1,18,,,,,0.837
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_1,1,20,,,,,0.895
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_1,1,22,,,,,0.885
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_1,1,28,,,,,0.82
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_2,2,0,,,,,0.05
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_2,2,4,,,,,0.015
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_2,2,8,,,,,0.03
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_2,2,12,,,,,0.143
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_2,2,14,,,,,0.288
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_2,2,16,,,,,0.519
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_2,2,18,,,,,0.806
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_2,2,20,,,,,0.888
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_2,2,22,,,,,0.891
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_2,2,28,,,,,0.831
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_3,3,0,,,,,0.06
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_3,3,4,,,,,0.016
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_3,3,8,,,,,0.031
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_3,3,12,,,,,0.173
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_3,3,14,,,,,0.321
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_3,3,16,,,,,0.505
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_3,3,18,,,,,0.862
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_3,3,20,,,,,0.896
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_3,3,22,,,,,0.892
HL-48 G,Axenic,HL-48,Glucose,HL-48-G_3,3,28,,,,,0.831
HL-58 G,Axenic,HL-58,Glucose,HL-58-G_1,1,0,,,,0.004,
HL-58 G,Axenic,HL-58,Glucose,HL-58-G_1,1,4,,,,0.012,
HL-58 G,Axenic,HL-58,Glucose,HL-58-G_1,1,8,,,,0.036,
HL-58 G,Axenic,HL-58,Glucose,HL-58-G_1,1,12,,,,0.092,
HL-58 G,Axenic,HL-58,Glucose,HL-58-G_1,1,14,,,,0.127,
HL-58 G,Axenic,HL-58,Glucose,HL-58-G_1,1,16,,,,0.193,
HL-58 G,Axenic,HL-58,Glucose,HL-58-G_1,1,18,,,,0.327,
HL-58 G,Axenic,HL-58,Glucose,HL-58-G_1,1,20,,,,0.387,
